No,Student ID,First name,Last name,Class
1,2219679778010421,Gwen,T. Benedict,22CLC02
2,2214439489908590,Spencer,Z. Pigou,22CLC02
3,2218415363334130,Emanuel,U. Chamberlain,22CLC02
4,2214621295946408,Clementine,T. Gonzales,22CLC02
5,2214004370847043,Everlee,M. Cumberland,22CLC02
6,2214332959326932,Ashton,N. Sally,22CLC02
7,2213596300542145,Belle,F. Abbot,22CLC02
8,2218625384827447,Yee,W. Rogers,22CLC02
9,2211715644878777,Sofia,K. Leonard,22CLC02
10,2210696386347523,Cayson,U. Jean,22CLC02
11,2217263684906761,Aliyah,R. Camilla,22CLC02
12,2217227323379485,Chase,D. Trollpoe,22CLC02
13,2219698447288519,Maleah,Q. Hope,22CLC02
14,2213385913128520,Bailee,V. Marlowe,22CLC02
15,2213949078328908,Bowen,N. Church,22CLC02
16,2217060311357867,Simpson,C. Douglas(s),22CLC02
17,2210791590544347,Wilda,V. Fielding,22CLC02
18,2215094819211875,Joanne,Z. Gladstone,22CLC02
19,2214582776318336,Bellamy,T. Lucas,22CLC02
20,2216115167196393,Marcel,O. Longfellow,22CLC02
