No,Student ID,First name,Last name,Class
1,22161528,Briella,U. Thoreau,22CLC02
2,22197806,Ryker,R. Spencer,22CLC02
3,22115151,Fox,N. Dierser,22CLC02
4,22106832,Brianna,Y. Torres,22CLC02
5,22118825,Julio,B. Burne-Jones,22CLC02
6,22157739,Adrian,B. Bellamy,22CLC02
7,22149980,Averi,M. Bryan,22CLC02
8,22154010,Walter,B. Cumberland,22CLC02
9,22134162,Kyler,I. Henry,22CLC02
10,22120228,Maeve,Y. Philip,22CLC02
11,22144111,Nyla,V. Sawyer,22CLC02
12,22100874,Xanthippe,D. Gunter,22CLC02
13,22135259,Damien,M. Jerry,22CLC02
14,22167028,Journi,X. Eden,22CLC02
15,22129785,Willow,W. Sainsbury,22CLC02
16,22146894,Nia,B. Constance,22CLC02
17,22181427,Marcellus,I. Oliver,22CLC02
18,22160506,Emersyn,J. Baker,22CLC02
19,22126632,Jesse,P. Holmes,22CLC02
20,22151492,Bernard,G. Hoover,22CLC02
21,22160473,Chloe,D. Betsy,22CLC02
22,22141158,Ellianna,Q. Fred,22CLC02
23,22186397,Winston,H. Murphy,22CLC02
24,22199375,Walker,Y. Miller,22CLC02
25,22126504,Roberto,C. Herty,22CLC02
26,22167280,Adeline,K. Theresa,22CLC02
27,22183635,Julius,R. Raymond,22CLC02
28,22191636,Leandro,C. Murray,22CLC02
29,22100644,Adrian,H. Maria,22CLC02
30,22135241,Sky,E. Tout,22CLC02
31,22190784,Adele,M. Clare,22CLC02
32,22118730,Clifford,O. Rutherford,22CLC02
33,22183383,Reign,K. Barton,22CLC02
34,22178896,Aria,A. Jeremiah,22CLC02
35,22151003,Alfonso,H. Wilson,22CLC02
36,22135115,Rose,U. Lucius,22CLC02
37,22177066,Corey,Y. Horatio,22CLC02
38,22125906,Corinne,B. May,22CLC02
39,22155255,Brandon,G. Warren,22CLC02
40,22136224,Kellen,X. Pritt,22CLC02
41,22157380,Bexley,D. Belle,22CLC02
42,22190589,Dixon,I. Noel,22CLC02
43,22103955,Melody,F. Yerkes,22CLC02
44,22127542,Fabian,I. Gibson,22CLC02
45,22170348,Cade,R. Hobson,22CLC02
46,22160878,Bella,B. Thompson,22CLC02
47,22130179,Fern,A. Brooke,22CLC02
48,22171370,Undene,E. Austin,22CLC02
49,22106368,Meilani,X. Beaufort,22CLC02
50,22117575,Faye,D. Finn,22CLC02
51,22174710,Gina,W. Arabella,22CLC02
52,22107565,Kelsey,K. Noyes,22CLC02
53,22128392,Harlow,D. Grote,22CLC02
54,22154352,Maxton,I. Evans,22CLC02
55,22106434,Thompson,V. Dorothy,22CLC02
56,22129459,Maliah,J. Anderson,22CLC02
57,22113540,Adelyn,G. Dulles,22CLC02
58,22174245,Maleah,D. Jacob,22CLC02
59,22125957,Serenity,I. Milton,22CLC02
60,22158932,Blaine,I. Luke,22CLC02
61,22175014,Mekhi,U. Davis,22CLC02
62,22150345,Hannah,M. Kennan,22CLC02
63,22134215,Adan,J. Woolley,22CLC02
64,22154147,Braydon,O. Rosalind,22CLC02
65,22111346,Quintana,A. Haydn,22CLC02
66,22119292,Terrance,F. Eugene,22CLC02
67,22169359,Gilbert,J. Bennett,22CLC02
68,22150769,Patterson,A. Adolph,22CLC02
69,22195322,Clementine,Y. Clarissa,22CLC02
70,22172432,Sutton,Y. Hansom,22CLC02
71,22102335,Karen,J. Peterson,22CLC02
72,22123483,Alannah,U. Locke,22CLC02
73,22163653,Ezekiel,J. Mill,22CLC02
74,22169485,Baylee,B. Williams,22CLC02
75,22185764,John,T. Hill,22CLC02
76,22154985,Eugene,W. Tyler,22CLC02
77,22152145,Lia,A. Miller,22CLC02
78,22188321,Zachery,R. Oscar,22CLC02
79,22198638,Addison,U. Bailey,22CLC02
80,22123732,Urso,Q. Clemens,22CLC02
81,22117590,Howard,F. Davis,22CLC02
82,22180048,Hazel,P. Robin,22CLC02
83,22116046,Urso,S. Tobias,22CLC02
84,22109795,Ahmad,S. Russell,22CLC02
85,22196428,Colette,L. Sawyer,22CLC02
86,22148857,Ken,F. Vincent,22CLC02
87,22194586,Violet,O. Moulton,22CLC02
88,22157475,Ryann,J. Carl,22CLC02
89,22191844,Miguel,E. Mond,22CLC02
90,22192400,Jaxtyn,V. Eddie,22CLC02
91,22190472,Rhonda,A. Blake,22CLC02
92,22118824,Achilles,O. Smith,22CLC02
93,22174981,Myra,R. Lopez,22CLC02
94,22168246,Marc,H. Ann,22CLC02
95,22122181,Kendra,M. Fox,22CLC02
96,22161157,Lewis,T. Evan,22CLC02
97,22145591,Trace,Z. Stuart,22CLC02
98,22199911,Raquel,I. Gabriel,22CLC02
99,22124774,Lyra,F. Barrett,22CLC02
100,22123861,Avalynn,U. Moore,22CLC02
