No,Student ID,First name,Last name,Class
1,22138268,Trey,V. Craigie,22CLC03
2,22128743,Jana,P. Judd,22CLC03
3,22106156,Makenzie,F. Dryden,22CLC03
4,22166817,Denise,L. Jeremiah,22CLC03
5,22106493,Wendy,E. Longman,22CLC03
6,22190457,Amayah,U. Kingsley,22CLC03
7,22121047,Xavia,Z. Betsy,22CLC03
8,22133025,Hector,Z. Ruth,22CLC03
9,22101732,Jeffery,X. Fox,22CLC03
10,22173647,Zdenek,B. Godwin,22CLC03
11,22136295,Sarai,I. Sainsbury,22CLC03
12,22168129,Stanley,J. Priestley,22CLC03
13,22100524,Alfred,A. Dryden,22CLC03
14,22171607,Gordon,D. Pullman,22CLC03
15,22140337,Ula,N. Maxwell,22CLC03
16,22118367,Grayson,T. FitzGerald,22CLC03
17,22174445,Leland,J. Morrison,22CLC03
18,22199904,Gianni,T. Boswell,22CLC03
19,22149280,Kylie,M. Spencer,22CLC03
20,22168150,Xenos,J. Reed,22CLC03
21,22149362,Avalynn,M. Leonard,22CLC03
22,22140272,Michael,Y. Dierser,22CLC03
23,22102146,Madisyn,D. Grant,22CLC03
24,22143046,Tara,R. Harrington,22CLC03
25,22183920,Xavyera,V. Kelsen,22CLC03
26,22105106,Michele,N. Shakespeare,22CLC03
27,22167119,Patrick,V. Emerson,22CLC03
28,22181140,Karlee,S. Arthur,22CLC03
29,22104747,Astrid,L. Clark(e),22CLC03
30,22139288,Houston,B. Petty,22CLC03
31,22174368,Alisha,Q. Patience,22CLC03
32,22122778,Weston,Y. Wyat,22CLC03
33,22100567,Brooklyn,U. Birrell,22CLC03
34,22146626,Jillian,J. Dunbar,22CLC03
35,22198438,Zenon,N. Dorothy,22CLC03
36,22158600,Aspen,B. Alfred,22CLC03
37,22141095,Leandro,B. Burke,22CLC03
38,22102905,Vicki,G. Aldridge,22CLC03
39,22188315,Leo,J. Maugham,22CLC03
40,22187641,Winter,C. Mansfield,22CLC03
41,22190862,Aubrie,Q. MacPherson,22CLC03
42,22162480,Alicia,C. Craigie,22CLC03
43,22131099,Madilynn,U. Emerson,22CLC03
44,22197260,Kamiyah,K. Harper,22CLC03
45,22114933,Wendy,L. Haggai,22CLC03
46,22116151,Kameron,S. Charley,22CLC03
47,22157215,Marilyn,A. Armstrong,22CLC03
48,22129897,Wendy,X. Boyle,22CLC03
49,22169867,Dalary,F. Rusk,22CLC03
50,22191210,Sloan,U. Hewlett,22CLC03
51,22170035,Zaiden,L. Strong,22CLC03
52,22185799,Kamilah,T. Allen,22CLC03
53,22199750,Kayleigh,Q. Walkley,22CLC03
54,22140005,Ariadne,W. Sally,22CLC03
55,22105430,Ola,H. Raphael,22CLC03
56,22194949,Kenny,Z. Leacock,22CLC03
57,22159250,Adalee,P. Whitehead,22CLC03
58,22177978,Priscilla,X. Thorndike,22CLC03
59,22188900,Wynn,M. Yerkes,22CLC03
60,22119893,Leonidas,E. Jasper,22CLC03
61,22108841,Xandros,C. Julian,22CLC03
62,22133022,Christina,P. Wheeler,22CLC03
63,22172761,Santino,U. Grantham,22CLC03
64,22152178,Emmalynn,D. Montgomery,22CLC03
65,22140241,Angie,I. MacAdam,22CLC03
66,22170771,Xiao,P. Elsie,22CLC03
67,22168421,Kaliyah,F. Stowe,22CLC03
68,22175313,Xanthus,R. Kennan,22CLC03
69,22160307,Maggie,H. Kit,22CLC03
70,22195986,Sloan,Q. Timothy,22CLC03
71,22176982,Celeste,G. Dobbin,22CLC03
72,22184042,Kinslee,R. Harper,22CLC03
73,22176893,Khalid,Z. Amelia,22CLC03
74,22120166,Zoe,O. Priestley,22CLC03
75,22160291,Paloma,T. Bessie,22CLC03
76,22143740,Corinne,I. Franklin,22CLC03
77,22187227,Irwin,K. Josh,22CLC03
78,22122297,Cook,E. Dolly,22CLC03
79,22193822,Nyla,O. Ivan,22CLC03
80,22111412,Ellie,Y. Morton,22CLC03
81,22172308,Nettie,S. Isabel,22CLC03
82,22155036,Simone,N. Eva,22CLC03
83,22142483,Josie,C. Huntington,22CLC03
84,22152460,Thalia,X. Cook,22CLC03
85,22113641,Walter,J. Hernandez,22CLC03
86,22199991,Dalton,V. Bruno,22CLC03
87,22149449,Otilia,T. Carmen,22CLC03
88,22113081,Desmond,N. Isabel,22CLC03
89,22182631,Karsyn,S. Sanders,22CLC03
90,22126284,Omari,K. Barrie,22CLC03
91,22190958,Nala,L. Walter,22CLC03
92,22139382,Maxine,L. Edison,22CLC03
93,22134661,Rosie,R. Keynes,22CLC03
94,22138814,Levi,F. Wallace,22CLC03
95,22112045,Webb,H. Salome,22CLC03
96,22114555,Isabelle,X. Ferdinand,22CLC03
97,22160035,Yeoman,W. Bill,22CLC03
98,22106296,Kailyn,S. Bobby,22CLC03
99,22137589,Micheal,S. Doyle,22CLC03
100,22158182,Apollo,J. Defoe,22CLC03
